ID	Species	Culture collection number	Isolation source	Country	Continent	Category 1	Category 2	Category 3	joined_1_2
4178	Desulfobaculum xiamenense	DSM 24233, CGMCC 1.5166	marine mangrove sediment	China	Asia	Environmental###Environmental###Environmental	Aquatic###Aquatic###Aquatic	Sediment###Marine###Mangrove	Environmental@@@Aquatic
4179	Desulfurella acetivorans	DSM 5264, ATCC 51451	thermophilic spring	Russia	Europe	Condition###Environmental	Thermophilic (>45°C)###Aquatic	Spring	Condition@@@Thermophilic (>45°C)###Environmental@@@Aquatic
4180	Desulfurella multipotens	DSM 8415	anoxic sediment	New Zealand	Australia and Oceania	Condition###Environmental	Anoxic (anaerobic)###Terrestrial	Sediment	Condition@@@Anoxic (anaerobic)###Environmental@@@Terrestrial
4181	Desulfurella sp.	DSM 11321	oil well	USA	North America	Engineered	Industrial	Oil reservoir	Engineered@@@Industrial
4182	Desulfurella propionica	DSM 10410, ATCC 700656	hot spring	Russia	Asia	Condition###Environmental	Thermophilic (>45°C)###Aquatic	Thermal spring	Condition@@@Thermophilic (>45°C)###Environmental@@@Aquatic
4183	Desulfurella kamchatkensis	DSM 10409, ATCC 700655	hot spring	Russia	Asia	Condition###Environmental	Thermophilic (>45°C)###Aquatic	Thermal spring	Condition@@@Thermophilic (>45°C)###Environmental@@@Aquatic
4184	Hippea maritima	DSM 10411, ATCC 700847	marine sediment from hot vent of tidal zone	Papua New Guinea	Australia and Oceania	Environmental###Environmental###Environmental###Environmental	Terrestrial###Aquatic###Aquatic###Aquatic	Tidal flat###Sediment###Marine###Hydrothermal vent	Environmental@@@Terrestrial###Environmental@@@Aquatic
4185	Hippea maritima	DSM 10412	marine sediment from hot vent of tidal zone	Papua New Guinea	Australia and Oceania	Environmental###Environmental###Environmental###Environmental	Terrestrial###Aquatic###Aquatic###Aquatic	Tidal flat###Sediment###Marine###Hydrothermal vent	Environmental@@@Terrestrial###Environmental@@@Aquatic
4186	Hippea maritima	DSM 10413	marine deep water hot vent	New Zealand	Australia and Oceania	Condition###Environmental###Environmental	Thermophilic (>45°C)###Aquatic###Aquatic	Marine###Hydrothermal vent	Condition@@@Thermophilic (>45°C)###Environmental@@@Aquatic
4187	Hippea jasoniae	DSM 24585, OCM 985	hydrothermal vent deposit, depth 1624 m	Portugal	Europe	Condition###Environmental	Thermophilic (>45°C)###Aquatic	Hydrothermal vent	Condition@@@Thermophilic (>45°C)###Environmental@@@Aquatic
4188	Hippea alviniae	DSM 24586, OCM 986	hydrothermal vent deposit, 2520 m depth	International waters		Condition###Environmental	Thermophilic (>45°C)###Aquatic	Hydrothermal vent	Condition@@@Thermophilic (>45°C)###Environmental@@@Aquatic
4189	Ignicoccus islandicus	DSM 13165, ATCC 700957, Kol 8	sandy sediments	Iceland	Europe	Environmental###Environmental	Terrestrial###Terrestrial	Sediment###Sandy	Environmental@@@Terrestrial
4190	Ignicoccus pacificus	DSM 13166, ATCC 700958	black smoker samples###rocky block smoker material	International waters		Environmental###Environmental###Condition###Environmental###Environmental###Condition	Terrestrial###Aquatic###Thermophilic (>45°C)###Terrestrial###Aquatic###Thermophilic (>45°C)	Geologic###Hydrothermal vent###Geologic###Hydrothermal vent	Environmental@@@Terrestrial###Condition@@@Thermophilic (>45°C)###Environmental@@@Aquatic
4191	Ignicoccus hospitalis	DSM 18386, JCM 14125	Submarine hydrothermal system at the Kolbeinsey Ridge###hot marine sediment	Iceland	Europe	Condition###Environmental###Environmental###Condition###Environmental###Environmental	Thermophilic (>45°C)###Aquatic###Aquatic###Thermophilic (>45°C)###Aquatic###Aquatic	Sediment###Marine###Sediment###Marine	Condition@@@Thermophilic (>45°C)###Environmental@@@Aquatic
4192	Ignisphaera aggregans	DSM 17230, JCM 13409	Terrestrial, near-neutral hot spring in Kuirau Park###nearneutral, boiling spring in Kuirau Park###hot spring	New Zealand	Australia and Oceania	Condition###Environmental###Condition###Environmental###Condition###Environmental	Thermophilic (>45°C)###Aquatic###Thermophilic (>45°C)###Aquatic###Thermophilic (>45°C)###Aquatic	Thermal spring###Thermal spring###Thermal spring	Condition@@@Thermophilic (>45°C)###Environmental@@@Aquatic
4193	Stetteria hydrogenophila	DSM 11227, JCM 10135	Marine sediment of a hydrothermal system at PaleohoriBay in Milos###sediment of marine geothermal system	Greece	Europe	Environmental###Environmental###Environmental###Environmental	Aquatic###Aquatic###Aquatic###Aquatic	Sediment###Marine###Sediment###Marine	Environmental@@@Aquatic
4194	Thermodiscus maritimus	DSM 15173, JCM 11597	Hot marine sediment at the beach of Vulcano Island###Hot marine sediment	Italy	Europe	Condition###Environmental###Environmental###Environmental###Condition###Environmental###Environmental###Environmental	Thermophilic (>45°C)###Terrestrial###Aquatic###Aquatic###Thermophilic (>45°C)###Terrestrial###Aquatic###Aquatic	Coast###Sediment###Marine###Coast###Sediment###Marine	Environmental@@@Terrestrial###Condition@@@Thermophilic (>45°C)###Environmental@@@Aquatic
4195	Aeropyrum pernix	DSM 11879, JCM 9820, ATCC 700893, NBRC 100138	Coastal solfataric vent at Kodakara-Jima Island###hot sedimentary materials and venting waters at a coastal solfataric vent###marine solfataric vent	Japan	Asia	Environmental###Environmental###Condition###Condition###Environmental###Environmental###Condition###Condition###Environmental###Environmental###Condition###Condition	Terrestrial###Aquatic###Thermophilic (>45°C)###Sulfuric###Terrestrial###Aquatic###Thermophilic (>45°C)###Sulfuric###Terrestrial###Aquatic###Thermophilic (>45°C)###Sulfuric	Volcanic###Marine###Volcanic###Marine###Volcanic###Marine	Condition@@@Sulfuric###Environmental@@@Terrestrial###Condition@@@Thermophilic (>45°C)###Environmental@@@Aquatic
4196	Aeropyrum camini	DSM 16960, ATCC BAA-758, JCM 12091	deep-sea hydrothermal vent chimney###deep-sea hydrothermal vent chimney, 1385 m depth	Japan	Asia	Condition###Environmental###Environmental###Condition###Environmental###Environmental###Condition###Environmental###Environmental	Thermophilic (>45°C)###Aquatic###Aquatic###Thermophilic (>45°C)###Aquatic###Aquatic###Thermophilic (>45°C)###Aquatic###Aquatic	Marine###Hydrothermal vent###Marine###Hydrothermal vent###Marine###Hydrothermal vent	Condition@@@Thermophilic (>45°C)###Environmental@@@Aquatic
4197	Desulfurococcus mucosus	DSM 2161, ATCC 35582, JCM 9186	Acidic hot spring in Hveravellir###acidic water from solfataric field	Iceland	Europe	Condition###Condition###Environmental###Condition###Condition###Environmental	Sulfuric###Acidic###Aquatic###Sulfuric###Acidic###Aquatic		Condition@@@Sulfuric###Condition@@@Acidic###Environmental@@@Aquatic
4198	Desulfurococcus mucosus	DSM 2162, ATCC 35584, JCM 9187	Acidic hot spring in Askja###hot solfataric spring	Iceland	Europe	Condition###Condition###Environmental###Condition###Condition###Environmental	Thermophilic (>45°C)###Sulfuric###Aquatic###Thermophilic (>45°C)###Sulfuric###Aquatic	Thermal spring###Thermal spring	Condition@@@Sulfuric###Condition@@@Thermophilic (>45°C)###Environmental@@@Aquatic
4199	Desulfurococcus amylolyticus	DSM 16532, JCM 13383, VKM V-2316	Hot spring of the Uzon caldera###hot spring of Uzon caldera###freshwater hot spring	Russia	Asia	Condition###Environmental###Environmental###Environmental###Condition###Environmental###Environmental###Environmental###Condition###Environmental###Environmental###Environmental	Thermophilic (>45°C)###Terrestrial###Aquatic###Aquatic###Thermophilic (>45°C)###Terrestrial###Aquatic###Aquatic###Thermophilic (>45°C)###Terrestrial###Aquatic###Aquatic	Volcanic###Thermal spring###Freshwater###Volcanic###Thermal spring###Freshwater###Volcanic###Thermal spring###Freshwater	Environmental@@@Terrestrial###Condition@@@Thermophilic (>45°C)###Environmental@@@Aquatic
4200	Desulfurococcus amylolyticus	DSM 18924, JCM 16383, VKM B-2413	Hot spring of Uzon###Izvilistyi spring of Central Field###mixed water and sediment	Russia	Asia	Environmental###Environmental###Environmental###Environmental###Environmental###Environmental	Aquatic###Aquatic###Aquatic###Aquatic###Aquatic###Aquatic	Sediment###Spring###Sediment###Spring###Sediment###Spring	Environmental@@@Aquatic
4201	Staphylothermus marinus	DSM 3639, JCM 9404, ATCC 43588	Geothermally heated sea floor at Vulcano###geothermally heated marine sediment	Italy	Europe	Environmental###Environmental###Environmental###Environmental	Aquatic###Aquatic###Aquatic###Aquatic	Sediment###Marine###Sediment###Marine	Environmental@@@Aquatic
4202	Staphylothermus marinus	DSM 3666	"submarine hydrothermal vent (""black smoker"")"			Condition###Environmental###Environmental	Thermophilic (>45°C)###Aquatic###Aquatic	Marine###Hydrothermal vent	Condition@@@Thermophilic (>45°C)###Environmental@@@Aquatic
4203	Staphylothermus hellenicus	DSM 12710, JCM 10830	Geothermally heated sediment at Palaeochori Bay###geothermally heated sediment at Palaeochori Bay, located at a depth of 9.4 m###hydrothermal site off Palaeochori Bay	Greece	Europe	Condition###Environmental###Environmental###Condition###Environmental###Environmental###Condition###Environmental###Environmental	Thermophilic (>45°C)###Aquatic###Aquatic###Thermophilic (>45°C)###Aquatic###Aquatic###Thermophilic (>45°C)###Aquatic###Aquatic	Sediment###Marine###Sediment###Marine###Sediment###Marine	Condition@@@Thermophilic (>45°C)###Environmental@@@Aquatic
4204	Sulfophobococcus zilligii	DSM 11193, JCM 10309	Hot alkaline spring near Hveragerdi###hot alkaline spring	Iceland	Europe	Condition###Condition###Environmental###Condition###Condition###Environmental	Thermophilic (>45°C)###Alkaline###Aquatic###Thermophilic (>45°C)###Alkaline###Aquatic	Thermal spring###Thermal spring	Condition@@@Alkaline###Condition@@@Thermophilic (>45°C)###Environmental@@@Aquatic
4205	Thermosphaera aggregans	DSM 11486	hot spring	USA	North America	Condition###Environmental	Thermophilic (>45°C)###Aquatic	Thermal spring	Condition@@@Thermophilic (>45°C)###Environmental@@@Aquatic
4206	Desulfuromusa kysingii	DSM 7343	marine mud	Denmark	Europe	Environmental###Environmental###Environmental	Aquatic###Terrestrial###Aquatic	Sediment###Mud (Sludge)###Marine	Environmental@@@Terrestrial###Environmental@@@Aquatic
4207	Desulfuromusa kysingii	DSM 7344	marine mud	Denmark	Europe	Environmental###Environmental###Environmental	Aquatic###Terrestrial###Aquatic	Sediment###Mud (Sludge)###Marine	Environmental@@@Terrestrial###Environmental@@@Aquatic
4208	Desulfuromusa bakii	DSM 7345	marine mud	Mexico	North America	Environmental###Environmental###Environmental	Aquatic###Terrestrial###Aquatic	Sediment###Mud (Sludge)###Marine	Environmental@@@Terrestrial###Environmental@@@Aquatic
4209	Desulfuromusa succinoxidans	DSM 8270	marine mud, 1-2 cm depth	Mexico	North America	Environmental###Environmental###Environmental	Aquatic###Terrestrial###Aquatic	Sediment###Mud (Sludge)###Marine	Environmental@@@Terrestrial###Environmental@@@Aquatic
4210	Desulfuromusa ferrireducens	DSM 16956, JCM 12926	Arctic fjord sediment at the west coast of Svalbard###permanently cold fjord sediment###marine surface sediment	Norway	Europe	Condition###Environmental###Environmental###Condition###Environmental###Environmental###Condition###Environmental###Environmental	Psychrophilic (<10°C)###Aquatic###Aquatic###Psychrophilic (<10°C)###Aquatic###Aquatic###Psychrophilic (<10°C)###Aquatic###Aquatic	Sediment###Marine###Sediment###Marine###Sediment###Marine	Condition@@@Psychrophilic (<10°C)###Environmental@@@Aquatic
4211	Malonomonas rubra	DSM 5091	marine mud	Italy	Europe	Environmental###Environmental###Environmental	Aquatic###Terrestrial###Aquatic	Sediment###Mud (Sludge)###Marine	Environmental@@@Terrestrial###Environmental@@@Aquatic
4212	Malonomonas rubra	DSM 9788		Italy	Europe				
4213	Syntrophotalea acetylenica	DSM 3246, NBRC 103808	creek sediment	Germany	Europe	Environmental###Environmental	Aquatic###Aquatic	Sediment###River (Creek)	Environmental@@@Aquatic
4214	Syntrophotalea acetylenica	DSM 3247	marine sediment	Italy	Europe	Environmental###Environmental	Aquatic###Aquatic	Sediment###Marine	Environmental@@@Aquatic
4215	Pelobacter acidigallici	DSM 2377, ATCC 49970	mud	Italy	Europe	Environmental	Terrestrial	Mud (Sludge)	Environmental@@@Terrestrial
4216	Pelobacter acidigallici	DSM 2378	mud	Italy	Europe	Environmental	Terrestrial	Mud (Sludge)	Environmental@@@Terrestrial
4217	Pelobacter acidigallici	DSM 3663	anaerobic sewage digester	France	Europe	Condition###Engineered###Engineered	Anoxic (anaerobic)###Waste###Biodegradation	Wastewater###Anaerobic digestor	Engineered@@@Biodegradation###Condition@@@Anoxic (anaerobic)###Engineered@@@Waste
4218	Syntrophotalea carbinolica	DSM 2380, NBRC 103641	mud	Italy	Europe	Environmental	Terrestrial	Mud (Sludge)	Environmental@@@Terrestrial
4219	Pelobacter propionicus	DSM 2379, NBRC 103807	creek mud	Germany	Europe	Environmental###Environmental	Terrestrial###Aquatic	Mud (Sludge)###River (Creek)	Environmental@@@Terrestrial###Environmental@@@Aquatic
4220	Syntrophotalea venetiana	DSM 2394, NBRC 103809, Gra PEG1	mud	Italy	Europe	Environmental	Terrestrial	Mud (Sludge)	Environmental@@@Terrestrial
4221	Syntrophotalea venetiana	DSM 2395	mud, sewage sludge digester	Germany	Europe	Environmental###Engineered	Terrestrial###Waste	Mud (Sludge)###Sewage sludge	Environmental@@@Terrestrial###Engineered@@@Waste
4222	Pelobacter massiliensis	DSM 6233, ATCC 49973, HHQ 7	anoxic mud	France	Europe	Condition###Environmental	Anoxic (anaerobic)###Terrestrial	Mud (Sludge)	Condition@@@Anoxic (anaerobic)###Environmental@@@Terrestrial
4223	Pelobacter sp.	DSM 2984	contact anaerobic process treating vegetable canning waste water	France	Europe	Condition###Engineered###Engineered	Anoxic (anaerobic)###Waste###Food production	Industrial wastewater###Bottled, canned, packed food	Engineered@@@Food production###Condition@@@Anoxic (anaerobic)###Engineered@@@Waste
4224	Pelobacter sp.	DSM 4360	anaerobic digestor	France	Europe	Condition###Engineered	Anoxic (anaerobic)###Biodegradation	Anaerobic digestor	Engineered@@@Biodegradation###Condition@@@Anoxic (anaerobic)
4225	Pelobacter seleniigenes	DSM 18267, ATCC BAA-1388, CIP 109818	freshwater wetland system	USA	North America	Environmental###Environmental	Terrestrial###Aquatic	Wetland (Swamp)###Freshwater	Environmental@@@Terrestrial###Environmental@@@Aquatic
4226	Desulfuromonas acetoxidans	DSM 684	marine sediment	Antarctica	Australia and Oceania	Environmental###Environmental	Aquatic###Aquatic	Sediment###Marine	Environmental@@@Aquatic
4227	Desulfuromonas acetoxidans	DSM 1675	"from anaerobic green syntrophic mixed culture designated ""<I>Chloropseudomonas ethylica</I>"" strain 2-K"			Condition###Host	Anoxic (anaerobic)###Microbial	Bacteria	Host@@@Microbial###Condition@@@Anoxic (anaerobic)
4228	Desulfuromonas acetoxidans	DSM 1676	"from anaerobic green syntrophic mixed culture designated ""<I>Chloropseudomonas ethylica</I>"" strain N2"			Condition###Host	Anoxic (anaerobic)###Microbial	Bacteria	Host@@@Microbial###Condition@@@Anoxic (anaerobic)
4229	Trichloromonas acetexigens	DSM 1397, ATCC 51529	digester sludge, sewage plant	Germany	Europe	Engineered	Waste	Water treatment plant	Engineered@@@Waste
4230	Desulfuromonas thiophila	DSM 8988	marine water	New Zealand	Australia and Oceania	Environmental	Aquatic	Marine	Environmental@@@Aquatic
4231	Desulfuromonas succinoxidans	DSM 8964	marine mud	Germany	Europe	Environmental###Environmental###Environmental	Aquatic###Terrestrial###Aquatic	Sediment###Mud (Sludge)###Marine	Environmental@@@Terrestrial###Environmental@@@Aquatic
4232	Desulfuromonas succinoxidans	DSM 8965	marine mud	France	Europe	Environmental###Environmental###Environmental	Aquatic###Terrestrial###Aquatic	Sediment###Mud (Sludge)###Marine	Environmental@@@Terrestrial###Environmental@@@Aquatic
4233	Desulfuromonas succinoxidans	DSM 8966	marine mud	Denmark	Europe	Environmental###Environmental###Environmental	Aquatic###Terrestrial###Aquatic	Sediment###Mud (Sludge)###Marine	Environmental@@@Terrestrial###Environmental@@@Aquatic
4234	Desulfuromonas thiophila	DSM 8987	anoxic mud of a freshwater sulfur spring	New Zealand	Australia and Oceania	Environmental	Aquatic	Freshwater	Environmental@@@Aquatic
4235	Desulfuromonas palmitatis	DSM 12391, ATCC 51701	marine sediment	USA	North America	Environmental###Environmental	Aquatic###Aquatic	Sediment###Marine	Environmental@@@Aquatic
4236	Desulfuromonas chloroethenica	DSM 12431, ATCC 700295	freshwater sediment contaminated with chlorinated ethylenes	USA	North America	Environmental###Environmental###Engineered	Aquatic###Aquatic###Contamination	Sediment###Freshwater	Engineered@@@Contamination###Environmental@@@Aquatic
4237	Desulfuromonas michiganensis	DSM 15941, ATCC BAA-778	sediment material	USA	North America	Environmental	Terrestrial	Sediment	Environmental@@@Terrestrial
4238	Desulfuromonas svalbardensis	DSM 16958, JCM 12927	Arctic fjord sediment at the west coast of Svalbard###permanently cold fjord sediment###marine surface sediment	Norway	Europe	Condition###Environmental###Environmental###Condition###Environmental###Environmental###Condition###Environmental###Environmental	Psychrophilic (<10°C)###Aquatic###Aquatic###Psychrophilic (<10°C)###Aquatic###Aquatic###Psychrophilic (<10°C)###Aquatic###Aquatic	Sediment###Marine###Sediment###Marine###Sediment###Marine	Condition@@@Psychrophilic (<10°C)###Environmental@@@Aquatic
4239	Dictyoglomus thermophilum	DSM 3960, ATCC 35947	slightly alkaline hot springs (Tsuetate Hot Spring)###tsuetate Hot Spring	Japan	Asia	Condition###Environmental###Condition###Condition###Environmental###Condition	Thermophilic (>45°C)###Aquatic###Alkaline###Thermophilic (>45°C)###Aquatic###Alkaline	Thermal spring###Thermal spring	Condition@@@Alkaline###Condition@@@Thermophilic (>45°C)###Environmental@@@Aquatic
4240	Dictyoglomus turgidum	DSM 6724	hot spring###hot spring, Uzon volcano caldera	Russia	Asia###Europe	Condition###Environmental###Environmental###Condition###Environmental###Environmental	Thermophilic (>45°C)###Terrestrial###Aquatic###Thermophilic (>45°C)###Terrestrial###Aquatic	Volcanic###Thermal spring###Volcanic###Thermal spring	Environmental@@@Terrestrial###Condition@@@Thermophilic (>45°C)###Environmental@@@Aquatic
4241	Dietzia maris	DSM 43672, ATCC 35013, AUCNM A-593, CIP 104188, IFO 15801, JCM 6166, NBRC 15801, VKM Ac-593, CCUG 44488, NCIMB 11744, IMV 195, CECT 4617, IFO 15529, IMSNU 21250, KCTC 9950, LMG 5361, NBRC 15529, NRRL B-16941, PCM 2292	"Environment, Soil###soil and from skin and intestinal tracts of carp 
(Cyprinus carpio)###soil"	Ukraine	Europe	Host Body-Site###Host Body-Site###Host###Environmental###Host Body-Site###Host Body-Site###Host###Environmental###Host Body-Site###Host Body-Site###Host###Environmental###Host Body-Site###Host Body-Site###Host###Environmental###Host Body-Site###Host Body-Site###Host###Environmental	Organ###Gastrointestinal tract###Fishes###Terrestrial###Organ###Gastrointestinal tract###Fishes###Terrestrial###Organ###Gastrointestinal tract###Fishes###Terrestrial###Organ###Gastrointestinal tract###Fishes###Terrestrial###Organ###Gastrointestinal tract###Fishes###Terrestrial	Skin, Nail, Hair###Soil###Skin, Nail, Hair###Soil###Skin, Nail, Hair###Soil###Skin, Nail, Hair###Soil###Skin, Nail, Hair###Soil	Host@@@Fishes###Host Body-Site@@@Organ###Environmental@@@Terrestrial###Host Body-Site@@@Gastrointestinal tract
4243	Dietzia maris	DSM 44472, CIP 104289, CCUG 44489	Human, Knee articular fluid###Human knee articular fluid###human (knee artiular fluid)	France	Europe	Host Body Product###Host###Host Body Product###Host###Host Body Product###Host	Fluids###Human###Fluids###Human###Fluids###Human		Host Body Product@@@Fluids###Host@@@Human
4245	Dietzia maris	DSM 44747	formation water of the Daging oil field	China	Asia	Environmental###Engineered	Aquatic###Industrial	Oil reservoir	Engineered@@@Industrial###Environmental@@@Aquatic
4247	Dietzia maris	DSM 30840	spacecraft-associated clean room class ISO 8,  Herschel Space Observatory	French Guiana	Middle and South America	Engineered	Built environment	Clean room	Engineered@@@Built environment
4248	Dietzia sp.	DSM 44016	Compost biofilter for waste gas purification of animal rendering plant emissions			Engineered###Engineered###Engineered###Engineered	Waste###Bioremediation###Biodegradation###Agriculture	Waste gas###Biofilter###Composting###Livestock (Husbandry)	Engineered@@@Biodegradation###Engineered@@@Agriculture###Engineered@@@Bioremediation###Engineered@@@Waste
4250	Dietzia natronolimnaea	DSM 44198	right lymph node of 18 year old female of neck	Germany	Europe	Host###Host Body-Site###Infection	Human###Organ###Patient	Female###Lymph node	Host@@@Human###Host Body-Site@@@Organ###Infection@@@Patient
4251	Dietzia natronolimnaea	DSM 44545	slag heap	Germany	Europe	Engineered	Waste		Engineered@@@Waste
4252	Dietzia natronolimnaea	DSM 44860, CBS 107.95, JCM 11417, CCUG 54951, NBRC 105040	Littoral sediments of Lake Oloidien (Little Lake Naivasha)###soda lake	Kenya	Africa	Condition###Environmental###Condition###Environmental###Condition###Environmental	Alkaline###Aquatic###Alkaline###Aquatic###Alkaline###Aquatic	Lake (large)###Lake (large)###Lake (large)	Condition@@@Alkaline###Environmental@@@Aquatic
4253	Dietzia dagingensis	DSM 44748	formation water of the Daging oil field	China	Asia	Environmental###Engineered	Aquatic###Industrial	Oil reservoir	Engineered@@@Industrial###Environmental@@@Aquatic
4254	Dietzia psychralcaliphila	DSM 44820, CCUG 47128, CCUG 47263, CIP 107427, IAM 14896, NCIMB 13777, JCM 10987, BCRC 16329, CCUG 49427, DSM 44782, NBRC 103065, IAM 14890	Drain of fish product precessing plant###Water (6C, pH 7) from a drain pool of a fish-egg-processing plant###water (6°C, pH7)			Environmental###Environmental###Environmental	Aquatic###Aquatic###Aquatic		Environmental@@@Aquatic
4255	Dietzia maris	DSM 44904, CCUG 50875, CIP 50875, IMMIB RIV-399, JCM 13663, IFM 10668, NBRC 102147	Perianal swab of a human with a bone marrow transplant###Human perianal,bone-marrow transplantation###perianal swab of a patient with bonmarrow transplantation	Germany	Europe	Host Body-Site###Infection###Infection###Host Body-Site###Infection###Infection###Host Body-Site###Infection###Infection	Gastrointestinal tract###Patient###Patient###Gastrointestinal tract###Patient###Patient###Gastrointestinal tract###Patient###Patient	Swab###Swab###Swab	Infection@@@Patient###Host Body-Site@@@Gastrointestinal tract
4256	Dietzia maris	DSM 44994, CIP 109208	Environment, Soil###soil	Brazil	Middle and South America	Environmental###Environmental	Terrestrial###Terrestrial	Soil###Soil	Environmental@@@Terrestrial
4257	Dietzia maris	DSM 30860	SMART-1, spacecraft associated clean room	Netherlands	Europe	Engineered	Built environment	Clean room	Engineered@@@Built environment
4258	Dietzia kunjamensis subsp. kunjamensis	DSM 44907, JCM 13325, MTCC 7007, CCUG 54952, BCRC 16834, CIP 109330, NBRC 105042, NCIMB 14304	Environment, Soil sample, cold desert###soil	India	Asia	Environmental###Environmental###Environmental###Environmental	Terrestrial###Terrestrial###Terrestrial###Terrestrial	Soil###Soil###Soil###Soil	Environmental@@@Terrestrial
4259	Dietzia papillomatosis	DSM 44961, NCIMB 14145, JCM 15317, IFM 10921, NBRC 105045	Skin of an immunocompetent patient with confluent and reticulated papillomatosis###skin scrapings of a 17-year-old boy with CRP	United Kingdom	Europe	Host###Host Body-Site###Infection###Infection###Host###Host Body-Site###Infection###Infection	Human###Organ###Patient###Inflammation###Human###Organ###Patient###Inflammation	Male###Skin, Nail, Hair###Male###Skin, Nail, Hair	Host@@@Human###Infection@@@Inflammation###Host Body-Site@@@Organ###Infection@@@Patient
4260	Dietzia cercidiphylli	DSM 45140, CCTCC AA 207016, JCM 16002, YIM 65002	Surface-sterilized root of <I>Cercidiphyllum japonicum</I> from Yunnan Province###surface sterilized root sample of <i>Cercidiphyllum japonicum</i>	China	Asia	Host Body-Site###Host Body-Site###Host###Host Body-Site###Host Body-Site###Host	Plant###Plant###Plants###Plant###Plant###Plants	Sterilized plant part###Root (Rhizome)###Tree###Sterilized plant part###Root (Rhizome)###Tree	Host@@@Plants###Host Body-Site@@@Plant
4261	Dietzia kunjamensis subsp. schimae	DSM 45139, CCTCC AA 207015, JCM 16003, YIM 65001	Surface-sterilized stem of <I>Schima</I> sp. from Yunnan Province###surface-sterilized stem sample of <i>Schima</i> sp.	China	Asia	Host Body-Site###Host Body-Site###Host###Host Body-Site###Host Body-Site###Host	Plant###Plant###Plants###Plant###Plant###Plants	Sterilized plant part###Stem (Branch)###Tree###Sterilized plant part###Stem (Branch)###Tree	Host@@@Plants###Host Body-Site@@@Plant
4262	Dietzia aerolata	DSM 45334, CCM 7659, CCUG 57738, JCM 17966	Air of a duck stable###air of a duck barn	Germany	Europe	Host###Environmental###Engineered###Host###Environmental###Engineered###Host###Environmental###Engineered	Birds###Air###Agriculture###Birds###Air###Agriculture###Birds###Air###Agriculture	Indoor Air###Livestock (Husbandry)###Indoor Air###Livestock (Husbandry)###Indoor Air###Livestock (Husbandry)	Host@@@Birds###Environmental@@@Air###Engineered@@@Agriculture
4263	Dietzia timorensis	DSM 45568, BTCC B-560, JCM 18295, NBRC 104184	Soil under mahogany (<I>Swietenia mahogani</I>) trees###soil	Indonesia	Asia	Environmental###Environmental	Terrestrial###Terrestrial	Soil###Soil	Environmental@@@Terrestrial
4264	Dietzia lutea	DSM 45074, CCTCC AA 207008, KCTC 19232, YIM 80766, JCM 19954	From alkaline desert soil###Soil from the eastern desert of Egypt###desert soil	Egypt	Africa	Condition###Environmental###Environmental###Condition###Environmental###Environmental###Condition###Environmental###Environmental	Xerophilic###Terrestrial###Terrestrial###Xerophilic###Terrestrial###Terrestrial###Xerophilic###Terrestrial###Terrestrial	Soil###Desert###Soil###Desert###Soil###Desert	Environmental@@@Terrestrial###Condition@@@Xerophilic
4265	Dietzia alimentaria	DSM 45698, JCM 16360, KACC 21126, NBRC 109780	traditional salt-fermented seafood made of clam jeotgal	Republic of Korea	Asia	Engineered###Engineered###Engineered###Engineered	Food production###Food production###Food production###Food production	Fermented###Seafood###Fermented###Seafood	Engineered@@@Food production
4266	Alkalilimnicola halodurans	DSM 13718, LMG 20111	sediment	Tanzania	Africa	Environmental###Environmental	Terrestrial###Aquatic	Sediment###Sediment	Environmental@@@Terrestrial###Environmental@@@Aquatic
4267	Alkalilimnicola ehrlichii	DSM 17681, ATCC BAA-1101	anoxic bottom water	USA	North America	Condition###Environmental	Anoxic (anaerobic)###Aquatic		Condition@@@Anoxic (anaerobic)###Environmental@@@Aquatic
4268	Alkalispirillum mobile	DSM 12769, VKM B-3569	cultures of <I>Halorhodospira halophila</I> SL-1			Host###Engineered	Microbial###Laboratory	Bacteria###Lab enrichment	Host@@@Microbial###Engineered@@@Laboratory
4269	Arhodomonas aquaeolei	DSM 8974, ATCC 49307, CIP 103913	oil field brine	United States of America	North America	Condition###Engineered###Condition###Engineered	Saline###Industrial###Saline###Industrial	Oil reservoir###Oil reservoir	Engineered@@@Industrial###Condition@@@Saline
4270	Ectothiorhodospira mobilis	DSM 237	salt flat	Ecuador	Middle and South America	Condition###Environmental	Saline###Terrestrial		Condition@@@Saline###Environmental@@@Terrestrial
4271	Ectothiorhodospira mobilis	DSM 238	salt flat	Ecuador	Middle and South America	Condition###Environmental	Saline###Terrestrial		Condition@@@Saline###Environmental@@@Terrestrial
4272	Ectothiorhodospira mobilis	DSM 239	salt flat	Ecuador	Middle and South America	Condition###Environmental	Saline###Terrestrial		Condition@@@Saline###Environmental@@@Terrestrial
4273	Ectothiorhodospira mobilis	DSM 240	salt marshes			Condition###Environmental	Saline###Terrestrial	Salt marsh	Condition@@@Saline###Environmental@@@Terrestrial
4275	Ectothiorhodospira mobilis	DSM 4180	sulfur spring	Israel	Asia	Condition###Environmental	Sulfuric###Aquatic	Spring	Condition@@@Sulfuric###Environmental@@@Aquatic
4277	Ectothiorhodospira shaposhnikovii	DSM 2111, ATCC 43036	salt flat	Jordan	Asia	Condition###Environmental	Saline###Terrestrial		Condition@@@Saline###Environmental@@@Terrestrial
