ID	Species	Culture collection number	Isolation source	Country	Continent	Category 1	Category 2	Category 3	joined_1_2
155321	Pasteurella stomatis	CCUG 57315	Dog,oral plaque	Sweden	Europe	Host Body-Site###Host	Oral cavity and airways###Mammals	Plaque###Canidae (Dog)	Host@@@Mammals###Host Body-Site@@@Oral cavity and airways
155322	Fusobacterium nucleatum	CCUG 57321	Human blood,56-yr-old man	Sweden	Europe	Infection###Host Body Product###Host	Patient###Fluids###Human	Blood###Male	Host Body Product@@@Fluids###Infection@@@Patient###Host@@@Human
155323	Clostridium sp.	CCUG 57327	Industry	Sweden	Europe	Engineered	Industrial		Engineered@@@Industrial
155324	Corynebacterium amycolatum	CCUG 57329	Human abdominal drainage,25-yr-old man	Sweden	Europe	Infection###Host Body-Site###Host	Patient###Other###Human	Abdomen###Male	Infection@@@Patient###Host Body-Site@@@Other###Host@@@Human
155325	Pseudomonas jessenii	CCUG 57336	Industry,water	Sweden	Europe	Environmental###Engineered###Engineered	Aquatic###Waste###Industrial	Industrial wastewater###Engineered product	Engineered@@@Industrial###Engineered@@@Waste###Environmental@@@Aquatic
155326	Pseudomonas sp.	CCUG 57337	Industry,water	Sweden	Europe	Environmental###Engineered###Engineered	Aquatic###Waste###Industrial	Industrial wastewater###Engineered product	Engineered@@@Industrial###Engineered@@@Waste###Environmental@@@Aquatic
155327	Lactobacillus gasseri	CCUG 57346 A	Human bone,59-yr-old patient,jaw	Sweden	Europe	Infection###Host Body-Site###Host	Patient###Other###Human	Bone	Infection@@@Patient###Host Body-Site@@@Other###Host@@@Human
155328	Ligilactobacillus salivarius	CCUG 57346 B	Human bone,59-yr-old patient,jaw	Sweden	Europe	Infection###Host Body-Site###Host	Patient###Other###Human	Bone	Infection@@@Patient###Host Body-Site@@@Other###Host@@@Human
155329	Granulicatella adiacens	CCUG 57347	Human blood,46-yr-old man,leukaemia,acute myeloid	Sweden	Europe	Infection###Host Body Product###Host	Patient###Fluids###Human	Blood###Male	Host Body Product@@@Fluids###Infection@@@Patient###Host@@@Human
155330	Citrobacter farmeri	CCUG 57349	Human urine,91-yr-old woman	Sweden	Europe	Infection###Host Body Product###Host	Patient###Fluids###Human	Urine###Female	Host Body Product@@@Fluids###Infection@@@Patient###Host@@@Human
155331	Paenibacillus glucanolyticus	CCUG 57351	Industry	Sweden	Europe	Engineered	Industrial		Engineered@@@Industrial
155332	Chryseobacterium sp.	CCUG 57353	Industry	Sweden	Europe	Engineered	Industrial		Engineered@@@Industrial
155333	Pedobacter sp.	CCUG 57354	Industry	Sweden	Europe	Engineered	Industrial		Engineered@@@Industrial
155334	Corynebacterium amycolatum	CCUG 57358	Human abdomen,71-yr-old patient,aortaaneurysm	Sweden	Europe	Infection###Host Body-Site###Host	Patient###Other###Human	Abdomen	Infection@@@Patient###Host Body-Site@@@Other###Host@@@Human
155335	Leuconostoc lactis	CCUG 57361	Human abscess,30-yr-old man	Sweden	Europe	Infection###Host Body-Site###Host	Patient###Other###Human	Abscess###Male	Infection@@@Patient###Host Body-Site@@@Other###Host@@@Human
155336	Enterococcus avium	CCUG 57363	Human drainage fluid,25-yr-old man	Sweden	Europe	Infection###Host Body Product###Host	Patient###Fluids###Human	Male	Host Body Product@@@Fluids###Infection@@@Patient###Host@@@Human
155337	Enterococcus faecium	CCUG 57364	Human drainage fluid,25-yr-old man	Sweden	Europe	Infection###Host Body Product###Host	Patient###Fluids###Human	Male	Host Body Product@@@Fluids###Infection@@@Patient###Host@@@Human
155338	Pediococcus acidilactici	CCUG 57368	Human abdomen,77-yr-old man	Sweden	Europe	Infection###Host Body-Site###Host	Patient###Other###Human	Abdomen###Male	Infection@@@Patient###Host Body-Site@@@Other###Host@@@Human
155339	Brucella intermedia	CCUG 57381	Water from antibiotic production mixed with sewage	India	Asia	Infection###Environmental###Engineered	Medical product###Aquatic###Waste	Sewage sludge	Infection@@@Medical product###Engineered@@@Waste###Environmental@@@Aquatic
155340	Providencia rettgeri	CCUG 57382	Water from antibiotic production mixed with sewage	India	Asia	Infection###Environmental###Engineered	Medical product###Aquatic###Waste	Sewage sludge	Infection@@@Medical product###Engineered@@@Waste###Environmental@@@Aquatic
155341	Corynebacterium tuberculostearicum	CCUG 57383	Human excised aortic aneurysm,69-yr-old male ?	Germany	Europe	Infection###Host	Patient###Human	Male	Infection@@@Patient###Host@@@Human
155342	Ornithinimicrobium muralis	CCUG 57389	Indoor wall colonized with moulds	Germany	Europe	Host###Engineered	Fungi###Built environment	Indoor	Engineered@@@Built environment###Host@@@Fungi
155343	Burkholderia multivorans	CCUG 57397	Human infection	Austria	Europe	Infection###Infection###Host	Patient###Disease###Human		Infection@@@Patient###Infection@@@Disease###Host@@@Human
155344	Corynebacterium striatum	CCUG 57400	Human wound,65-yr-old man,toe	Sweden	Europe	Infection###Host Body-Site###Host Body-Site###Host	Patient###Limb###Other###Human	Foot###Wound###Male	Infection@@@Patient###Host Body-Site@@@Other###Host Body-Site@@@Limb###Host@@@Human
155345	Enterococcus faecium	CCUG 57402	Human blood,48-yr-old man	Sweden	Europe	Infection###Host Body Product###Host	Patient###Fluids###Human	Blood###Male	Host Body Product@@@Fluids###Infection@@@Patient###Host@@@Human
155346	Brachybacterium paraconglomeratum	CCUG 57407	Tobacco	Sweden	Europe	Host###Engineered	Plants###Industrial	Herbaceous plants (Grass,Crops)###Engineered product	Host@@@Plants###Engineered@@@Industrial
155347	Streptococcus pyogenes	CCUG 57411	Human wound,14-yr-old female,breast	Sweden	Europe	Host###Infection###Host Body-Site###Host Body-Site###Host	Human###Patient###Organ###Other###Human	Female###Mammary gland###Wound###Child	Host@@@Human###Host Body-Site@@@Other###Host Body-Site@@@Organ###Infection@@@Patient
155348	Stenotrophomonas maltophilia	CCUG 57416	Human sputum,52-yr-old woman	Sweden	Europe	Infection###Host Body Product###Host	Patient###Fluids###Human	Sputum###Female	Host Body Product@@@Fluids###Infection@@@Patient###Host@@@Human
155349	Stenotrophomonas maltophilia	CCUG 57421	Human trachea,78-yr-old woman	Sweden	Europe	Infection###Host Body-Site###Host	Patient###Oral cavity and airways###Human	Trachea###Female	Infection@@@Patient###Host Body-Site@@@Oral cavity and airways###Host@@@Human
155350	Streptococcus sp.	CCUG 57422	Human blood,9-yr-old man	Sweden	Europe	Host###Infection###Host Body Product###Host	Human###Patient###Fluids###Human	Child###Blood###Male	Host Body Product@@@Fluids###Host@@@Human###Infection@@@Patient
155351	Microbacterium sp.	CCUG 57428	Human wound,35-yr-old woman,finger	Sweden	Europe	Infection###Host Body-Site###Host Body-Site###Host	Patient###Limb###Other###Human	Hand###Wound###Female	Infection@@@Patient###Host Body-Site@@@Other###Host Body-Site@@@Limb###Host@@@Human
155352	Clostridium innocuum	CCUG 57429	Human blood,69-yr-old patient	Sweden	Europe	Infection###Host Body Product###Host	Patient###Fluids###Human	Blood	Host Body Product@@@Fluids###Infection@@@Patient###Host@@@Human
155353	Lactobacillus rhamnosus	CCUG 57433	Human blood,25-yr-old man	Sweden	Europe	Infection###Host Body Product###Host	Patient###Fluids###Human	Blood###Male	Host Body Product@@@Fluids###Infection@@@Patient###Host@@@Human
155354	Moraxella osloensis	CCUG 57435	Human infection,64-yr-old man,vertebra	Sweden	Europe	Infection###Infection###Host Body-Site###Host	Patient###Disease###Other###Human	Bone###Male	Infection@@@Patient###Host Body-Site@@@Other###Infection@@@Disease###Host@@@Human
155355	Aggregatibacter segnis	CCUG 57436	Human infection,71-yr-old man	Sweden	Europe	Infection###Infection###Host	Patient###Disease###Human	Male	Infection@@@Patient###Infection@@@Disease###Host@@@Human
155356	Enterococcus avium	CCUG 57437	Human blood,81-yr-old woman	Sweden	Europe	Infection###Host Body Product###Host	Patient###Fluids###Human	Blood###Female	Host Body Product@@@Fluids###Infection@@@Patient###Host@@@Human
155357	Actinotignum schaalii	CCUG 57443	Human blood,79-yr-old male	Sweden	Europe	Infection###Host Body Product###Host	Patient###Fluids###Human	Blood###Male	Host Body Product@@@Fluids###Infection@@@Patient###Host@@@Human
155358	Catabacter hongkongensis	CCUG 57444	Human blood,62-yr-old woman	Sweden	Europe	Infection###Host Body Product###Host	Patient###Fluids###Human	Blood###Female	Host Body Product@@@Fluids###Infection@@@Patient###Host@@@Human
155359	Corynebacterium pyruviciproducens	CCUG 57455	Human blood,68-yr-old woman	Sweden	Europe	Infection###Host Body Product###Host	Patient###Fluids###Human	Blood###Female	Host Body Product@@@Fluids###Infection@@@Patient###Host@@@Human
155360	Teichococcus aestuarii	CCUG 57456, KCTC 22692, NBRC 105654	Water from aestuary	India	Asia	Environmental	Aquatic	River (Creek)	Environmental@@@Aquatic
155361	Brevundimonas diminuta	CCUG 57463	Industry,aseptical surface	Sweden	Europe	Engineered###Engineered	Industrial###Built environment	Clean room	Engineered@@@Industrial###Engineered@@@Built environment
155362	Bacillus sp.	CCUG 57465	Spore strip	Sweden	Europe	Infection	Medical device		Infection@@@Medical device
155363	Enterococcus gallinarum	CCUG 57467	Human infection,25-yr-old man	Sweden	Europe	Infection###Infection###Host	Patient###Disease###Human	Male	Infection@@@Patient###Infection@@@Disease###Host@@@Human
155364	Neisseria animaloris	CCUG 57468	Human wound,dogbite 41 year-old male	Sweden	Europe	Infection###Host Body-Site###Host###Host	Patient###Other###Mammals###Human	Wound###Canidae (Dog)###Male	Infection@@@Patient###Host Body-Site@@@Other###Host@@@Mammals###Host@@@Human
155365	Murinocardiopsis flavida	CCUG 57469	Indoor walls colonized with molds	Germany	Europe	Host###Engineered	Fungi###Built environment	Indoor	Engineered@@@Built environment###Host@@@Fungi
155366	Amycolatopsis sp.	CCUG 57470	Building material,water damaged	Germany	Europe	Engineered	Built environment		Engineered@@@Built environment
155367	Staphylococcus lugdunensis	CCUG 57476	Human rectum,23-yr-old female	Sweden	Europe	Infection###Host Body-Site###Host	Patient###Gastrointestinal tract###Human	Rectum###Female	Infection@@@Patient###Host@@@Human###Host Body-Site@@@Gastrointestinal tract
155368	Nocardia nova	CCUG 57480	Human pleural fluid,85-yr-old man	Sweden	Europe	Infection###Host Body-Site###Host Body Product###Host	Patient###Oral cavity and airways###Oral cavity and Airways###Human	Lung###Pleural fluid###Male	Infection@@@Patient###Host@@@Human###Host Body-Site@@@Oral cavity and airways###Host Body Product@@@Oral cavity and Airways
155369	Acinetobacter ursingii	CCUG 57481	Human infection,67-yr-old man	Sweden	Europe	Infection###Infection###Host	Patient###Disease###Human	Male	Infection@@@Patient###Infection@@@Disease###Host@@@Human
155370	Pseudoglutamicibacter cumminsii	CCUG 57490	Human urine,63-yr-old man	Sweden	Europe	Infection###Host Body Product###Host	Patient###Fluids###Human	Urine###Male	Host Body Product@@@Fluids###Infection@@@Patient###Host@@@Human
155371	Lactiplantibacillus plantarum	CCUG 57493	Human infection,61-yr-old woman	Sweden	Europe	Infection###Infection###Host	Patient###Disease###Human	Female	Infection@@@Patient###Infection@@@Disease###Host@@@Human
155372	Campylobacter volucris	CCUG 57497, LMG 24379	Black-headed gull	Sweden	Europe	Host	Birds		Host@@@Birds
155373	Campylobacter volucris	CCUG 57499, LMG 24381	Black-headed gull	Sweden	Europe	Host	Birds		Host@@@Birds
155374	Enterococcus raffinosus	CCUG 57514	Human wound,40-yr-old woman	Sweden	Europe	Infection###Host Body-Site###Host	Patient###Other###Human	Wound###Female	Infection@@@Patient###Host Body-Site@@@Other###Host@@@Human
155375	Moraxella osloensis	CCUG 57516	Human blood,newborn female	Sweden	Europe	Host###Infection###Host Body Product###Host	Human###Patient###Fluids###Human	Child###Blood###Female	Host Body Product@@@Fluids###Host@@@Human###Infection@@@Patient
155376	Corynebacterium ureicelerivorans	CCUG 57526	Human blood,78-yr-old woman,pancreatitis	Sweden	Europe	Infection###Infection###Host Body Product###Host	Patient###Inflammation###Fluids###Human	Blood###Female	Host Body Product@@@Fluids###Infection@@@Patient###Infection@@@Inflammation###Host@@@Human
155377	Corynebacterium amycolatum	CCUG 57527	Human blood,88-yr-old man	Sweden	Europe	Infection###Host Body Product###Host	Patient###Fluids###Human	Blood###Male	Host Body Product@@@Fluids###Infection@@@Patient###Host@@@Human
155378	Neisseria animaloris	CCUG 57534	Human wound,hand,69-yr-old man,bite	Sweden	Europe	Infection###Host Body-Site###Host Body-Site###Host	Patient###Limb###Other###Human	Hand###Wound###Male	Infection@@@Patient###Host Body-Site@@@Other###Host Body-Site@@@Limb###Host@@@Human
155379	Staphylococcus saccharolyticus	CCUG 57535	Human tissue,hip,66-yr-old man	Sweden	Europe	Infection###Host	Patient###Human	Male	Infection@@@Patient###Host@@@Human
155380	Moraxella atlantae	CCUG 57536	Human blood,82-yr-old man	Sweden	Europe	Infection###Host Body Product###Host	Patient###Fluids###Human	Blood###Male	Host Body Product@@@Fluids###Infection@@@Patient###Host@@@Human
155381	Pelomonas aquatica	CCUG 57547	Water,industry	Sweden	Europe	Environmental###Engineered	Aquatic###Industrial		Engineered@@@Industrial###Environmental@@@Aquatic
155382	Afipia sp.	CCUG 57550	Water,industry	Sweden	Europe	Environmental###Engineered	Aquatic###Industrial		Engineered@@@Industrial###Environmental@@@Aquatic
155383	Corynebacterium coyleae	CCUG 57560	Environment,industry	Sweden	Europe	Engineered	Industrial		Engineered@@@Industrial
155384	Neisseria oralis	CCUG 57562	Human blood,8-yr-old boy,acute lymphatic leukaemia	Sweden	Europe	Host###Infection###Host Body Product###Host	Human###Patient###Fluids###Human	Child###Blood###Male	Host Body Product@@@Fluids###Host@@@Human###Infection@@@Patient
155385	Bifidobacterium longum subsp. infantis	CCUG 57566	Human infection,44-yr-old woman	Sweden	Europe	Infection###Infection###Host	Patient###Disease###Human	Female	Infection@@@Patient###Infection@@@Disease###Host@@@Human
